Channel_SKU,Master_SKU,SKU_Name,Channel
DHCBE00000006,70100006,DHC Beauty Lip Cream(1.5 g),Nykaa
DHCBE00000022,70100004,Free DHC Beauty Face Wash Powder(15 g),Nykaa
DHCBE00000026,DHCCOM00002,Free DHC Beauty Try Before You Buy(4 pieces),Nykaa
DHCBE00000033,DHCFREE0001,Free DHC Beauty Deep Cleansing Oil Sachet(3ml),Nykaa
DHCBE00000034,DHCFREE0002,Free DHC Beauty Face Wash Powder Sachet(1 g),Nykaa
DHCBE00000037,70100012,DHC Beauty Vitamin C Essence(25ml),Nykaa
DHCBE00000038,70100013,DHC Beauty Pore Lotion(120ml),Nykaa
DHCBE00000039,70100014,DHC Beauty Facial Scrub(100 g),Nykaa
DHCBE00000040,70100015,DHC Beauty Revitalizing Moisture Strips Eyes(6 pcs),Nykaa
DHCBE00000042,70100017,DHC Beauty Pore Face Wash(120 g),Nykaa
DHCBE00000043,70100018,DHC Beauty Medicated Skin Conditioner Face Wash(100 g),Nykaa
DHCBE00000044,70100019,DHC Beauty Mineral Face Wash(100 g),Nykaa
DHCBE00000045,70100020,DHC Beauty Mild Foaming Face Wash(100 g),Nykaa
DHCBE00000046,70100005,Free DHC Beauty Face Wash Powder(50 g),Nykaa
DHCBE00000051,70100022,DHC Beauty LX-ME Brightening Lotion(180ml),Nykaa
DHCBE00000053,70100024,DHC Beauty LX-ME Brightening Gel(120gm),Nykaa
DHCBE00000056,70100021,Free DHC Beauty Pore Cleansing Oil(2ml),Nykaa
DHCBE00000057,70100025,Free DHC Beauty Mineral Face Wash Sachet(3ml),Nykaa
DHCBE00000058,70100026,Free DHC Beauty Mild Foaming Face Wash Sachet(3ml),Nykaa
8801051666823,60100008,"Belif The True Cream Moisturizing Bomb, Clinically Proven To Retain Moisture For 26H, Dermat Tested",Nykaa
8801051692914,60100038,"Belif Problem Solution Moisturizer With Tea Tree, Dermat Tested Face Cream For Oily & Sensitive Skin",Nykaa
8801051743180,60100016,belif The True Cream Water Bomb(75ml),Nykaa
8801051781991,60100029,"Belif Hungarian Water Serum, Dermat Tested Light Weight Face Serum, Increases Skin Hydration By 20%",Nykaa
8801051782400,60100009,"Belif The True Cream Aqua Bomb, Dermat Tested Moisturizer, Increases Skin Hydration By 70%",Nykaa
8801051793833,60100010,"Belif The True Cream Moisturizing Bomb, Clinically Proven To Retain Moisture For 26H, Dermat Tested",Nykaa
8801051926484,60100015,belif Skin Regeneration Sleeping Mask(50ml),Nykaa
8801051930962,60100022,"Belif Problem Solution Toner With Tea Tree, Dermat Tested Toner For Oily & Sensitive Skin",Nykaa
8801051959253,60100041,"Belif Peat Miracle Eye Cream With Collagen To Reduce Under Wrinkles & Dark Circles, Dermat Tested",Nykaa
8801051991741,TFSCOM00153,belif Travel Kit,Nykaa
BELIF00000002,TFSCOM00310,belif Hydration Mania Kit(5 pieces),Nykaa
BELIF00000003,TFSCOM00311,Free belif Bestseller Kit(4 pieces),Nykaa
BELIF00000017,60100008,Free belif The True Cream Aqua Bomb(25ml),Nykaa
BELIF00000018,60100013,Free belif Numero 10 Essence(50ml),Nykaa
BELIF00000019,60100067,"Belif UV Protector Multi Face Sunscreen SPF50+ PA++++, Dermatologically Tested(50ml)",Nykaa
BELIF00000020,60100066,Free belif True Cream Aqua Bomb(3ml),Nykaa
BELIF00000021,60100054,Free belif True Cream Moisturizing Bomb(3ml),Nykaa
BELIF00000023,60100069,Free belif Uv Protector Multi Sunscreen +(3ml),Nykaa
BELIF00000024,60100070,Free belif Aqua Bomb Jelly Cleanser(3ml),Nykaa
BELIF00000025,60100068,Free belif Creamy Cleansing Foam(3ml),Nykaa
BELIF00000027,BLFCOM00004,"Belif Travel Kit 2.0, Travel Friendly Minis, Ultimate Skin Hydrator Kit",Nykaa
BELIF00000033,BLFCOM00004,Free belif Travel Kit 2.0(79ml),Nykaa
BELIF00000034,BLFCOM00006,belif Ready Set Glow Combo(10ml),Nykaa
BELIF00000035,BLFCOM00005,belif Ready Set Hydrate Combo(10ml),Nykaa
BELIF00000036,BLFCOM00007,belif Glow On The Go Combo(19ml),Nykaa
BELIF00000037,BLFCOM00008,belif The Glow Duo(19ml),Nykaa
BELIF00000039,BLFCOM00010,belif Oily Skin Bff Duo(20ml),Nykaa
BELIF00000040,BLFCOM00011,belif Dry Skin Bff Duo(20ml),Nykaa
NYKFREBLF0001,60100004,Free belif Milky Moisturizer Hydra Balancing (20ml),Nykaa
NYKFREBLF0002,60100011,Free belif Bergamot Herbal Extract Toner (20ml),Nykaa
NYKFREBLF0003,60100003,Free belif Creamy Cleansing Foam (30ml),Nykaa
NYKFREBLF0004,60100001,Free belif The True Cream Aqua Bomb (10ml),Nykaa
NYKFREBLF0005,60100002,Free belif The True Cream Moisturizing Bomb (10ml),Nykaa
NYKFREBLF0007,60100006,Free belif Numero 10 Essence (10ml),Nykaa
NYKFREBLF0009,TFSCOM00259,Free belif Travel Kit 80ml(80ml),Nykaa
8806182521591,30100463, Perfume Seed Rose Body Mist,Nykaa
8806182549175,30100086, Perfume Seed Capsule Body Wash,Nykaa
